Compound	CAS	Company	CatalogNumber	FW	Synonyms	Hans80Anti	Hans80metals	FEBA_carbon	FEBA_nitrogen	FEBA_stress	All_star
Sodium Fumarate dibasic	17013-01-3	Sigma	F1506	160.04	Sodium Fumarate			yes			
Sodium Hydroxide	1310-73-2			40	NaOH		yes				
Sodium hypochlorite	7681-52-9	Sigma		74.44			yes				
Sodium hypophosphite monohydrate	10039-56-2	Sigma	S5012	105.99			yes				
sodium iodate	7681-55-2	Sigma	S4007	197.89			yes				
sodium iodide	7681-82-5	Sigma	383112	149.89			yes				
Sodium iodoacetate	305-53-3	Sigma	I2512-25G	207.93							
Sodium L-Lactate	867-56-1	Sigma	L7022	112.06				yes			
Sodium m-arsenite	7784-46-5	Sigma	S7400	129.91	sodium arsenite		yes				
Sodium metavanadate	13718-26-8	Sigma	590088	121.93			yes				
Sodium methanesulfonate	2386-57-4	Sigma	304506	118.09			yes				
Sodium molybdate	7631-95-0	Sigma	243655	205.92	Na2MoO4		yes				
Sodium Molybdate Dihydrate	10102-40-6	Sigma	331058	241.95	Na2MoO4 2H2O						
Sodium nitrate	7631-99-4	Sigma	S8170	84.99	NaNO3		yes		yes	yes	
Sodium nitrite	7632-00-0	Sigma	563218	69			yes		yes	yes	
Sodium octanoate	1984-06-1	Sigma	C5038	166.19				yes			
Sodium perchlorate monohydrate	7791-07-3	Sigma	71852	140.46			yes			yes	
Sodium periodate	7790-28-5	Sigma	S1878	213.89			yes				
Sodium phosphate dibasic heptahydrate	7782-85-6	Sigma	S9390	268.07	Na2HPO4 7H2O						
Sodium phosphate monobasic monohydrate	10049-21-5	Sigma		137.99	monobasic sodium phosphate dihydrate		yes				
Sodium phosphite dibasic pentahydrate	13517-23-2			216.04			yes				
Sodium propionate	137-40-6	Sigma	P1880	96.06	Sodium Proprionate			yes			
Sodium pyrophosphate dibasic	7758-16-9	Sigma	P8135	221.94			yes				
Sodium pyruvate	113-24-6	Sigma	P2256	110.04				yes			
Sodium selenate	13410-01-0	Sigma	S0882	188.94	Na2SeO4		yes				
Sodium selenite pentahydrate	26970-82-1	Sigma	163	263.01	Na2SeO3		yes				
Sodium metasilicate	6834-92-0			122.06	sodium silicate, sodium (meta)silicate		yes				
Sodium succinate dibasic hexahydrate	6106-21-4	Sigma	S2378	270.14	sodium succinate			yes			
Sodium sulfate	7757-82-6			142.04	Na2SO4, Sodium Sulfate		yes				
Sodium sulfide nonahydrate	1313-82-2			240.18	Na2S						
sodium sulfite	7757-83-7	Sigma	S0505	126.04			yes				
Sodium thiophosphate tribasic hydrate	10489-48-2	Sigma	S0764	180.01			yes				
Sodium thiosulfate pentahydrate	10102-17-7	Sigma	S8503	248.18			yes				
Sodium tungstate dihydrate	10213-10-2	Sigma	T2629	329.85	Na2WO4, Na2WO4 2H2O, sodium tungstate, Sodium tungstate		yes				
Spectinomycin dihydrochloride pentahydrate	22189-32-8	Sigma	85555-25G	495.35		yes				yes	
Spiramycin	8025-81-8	Sigma	S9132-1G			yes					
Streptomycin sulfate salt	3810-74-0	Sigma	S6501-5G	728.69							
Streptonigrin	3930-19-6	Sigma	S1014-1MG	506.46							
Strontium chloride	10476-85-4			158.53	SrCl2		yes				
Succinic Acid	110-15-6	Sigma	S3674	118.09							
Sucrose	57-50-1	Sigma	S7903	342.3				yes			
Sulfamethazine sodium salt	1981-58-4	Sigma	S5637-25G	300.31		yes					
Sulfamethizole	144-82-1	Sigma	S5632-10G	270.33		yes					
Sulfamonomethoxine	1220-83-3	Sigma	S0508-250MG	280.3		yes					
Sulfanilamide	63-74-1	Sigma	S9251	172.2							
Sulfaquinoxaline sodium salt	967-80-6	Sigma	S7382	322.32		yes					
syringaldehyde	134-96-3	Sigma	57602	182.17						yes	
Syringic Acid	530-57-4	Sigma	S6881	198.17							
TAPS sodium salt	91000-53-2	Sigma	T0647	265.26							
Taurocholic acid sodium salt hydrate	345909-26-4	Sigma	T4009-250MG	537.68							
Tetracycline hydrochloride	64-75-5	Sigma	T3383-25G	480.9		yes				yes	
Tetrazolium violet	1719-71-7	Sigma	T0138-1G	384.86		yes					
Thallium(I) acetate	563-68-8	Sigma	T8266-5G	263.43			yes			yes	
Theophylline	58-55-9	Sigma	t-1663 50g	180.2		yes					
Thiamine HCl	67-03-8	Sigma	T4625	337.27	Thiamine-HCl, thiamine, thiamin hydrochloride, thiamine HCl						
Thioridazine hydrochloride	130-61-0	Sigma	T9025-5G	407.04		yes					
Thiourea	62-56-6	Sigma	88810	76.12							
Thymidine	50-89-5	Sigma	T1895	242.23				yes	yes		
Thymine	65-71-4	Sigma	T0376	126.11				yes	yes		
Ticarcillin disodium salt	4697-14-7	Sigma	T5639	428.39		yes					
Tobramycin sulfate salt	79645-27-5	Sigma	T1783-100MG	467.51							
toluene	108-88-3			92.14							
Tribenuron-methyl	101200-48-0	Sigma	46013-100-mg	395.39		yes					
Tricine	5704-04-1	Sigma	T0377	179.17							
Trimethoprim	738-70-5	Sigma	T7883	290.32		yes					
Trimethylamine-N-oxide	1184-78-7	Sigma	317594	75.11							
Tris hydrochloride	1185-53-1	Sigma	T5941	157.6	Tris-HCl						
Tris(hydroxymethyl)aminomethane	77-86-1			121.14	Tris, THAM						
Trisodium citrate dihydrate	6132-04-3	Sigma	S1804	294.1				yes			
Tryptone	91079-40-2										
Tunicamycin	11089-65-9	Sigma	T7765-1MG								
Tween 20	9005-64-5	Sigma	P1379	1227.54				yes			
undecene	821-95-4			154.29							
Uracil	66-22-8			112.0868							
Uranyl acetate	541-09-3			424.146							
Urea	57-13-6	Sigma	U5378	60.06					yes		
Uridine	58-96-8	Sigma	U3750	244.2				yes	yes		
Vancomycin Hydrochloride from Streptomyces orientalis	1404-93-9	Sigma	MP: 195545-250MG	1485.71		yes					
Vancomycin Hydrochloride Hydrate	123409-00-7	Sigma	MP: 195545-250MG	1485.7						yes	
Vanillic Acid	121-34-6	Sigma	H36001	168.15							
Vanillin	121-33-5	Sigma	V1104	152.15						yes	
Vanillyl Alcohol	498-00-0	Sigma	175536	154.16			yes				
vanillylmandelic acid	55-10-7	Sigma	H0131	198.17							
Xylitol	87-99-0	Sigma	X3375	152.15				yes			
Yeast Extract	232-387-9										
Zinc chloride	7646-85-7	Sigma	Z0173	136.3	ZnCl2		yes				
Zinc Pyrithione	13463-41-7	Sigma	phr1401-5g	317.7		yes					
Zinc sulfate heptahydrate	7446-20-0	Sigma	Z0251	287.56	zinc sulfate, ZnSO4 7H2O					yes	
sodium carbonate monohydrate	5968-11-6	Sigma	S4132	124							
Starch	9005-25-8				Starch from potato						
D,L-cysteine	3374-22-9	Sigma		121.16	DL-cysteine						
D,L-histidine	4998-57-6	Sigma		155.15	DL-histidine						
Ferric-NTA											
Zinc-NTA											
Copper-NTA											
Sodium thiosulfate	7772-98-7				sodium thiosulfate anhydrous						
Lithium chloride hydrate	85144-11-2										
Nickel-NTA											
vanadium chloride	7718-98-1										
ammonium iron(II) sulfate hexahydrate	7783-85-9										
beryllium sulfate tetrahydrate	7787-56-6										
Gallium(III)chloride	13450-90-3										
potassium tellurate hydrate	314041-10-6										
silver chloride	7783-90-6										
potassium hexahydroxoantimonate	12208-13-8										
gold (III) chloride hydrate	27988-77-8										
mercury (II) chloride	7487-94-7										
platinum (IV) chloride	13454-96-1										
Chromium-NTA											
sodium tetraborate decahydrate	1303-96-4										
Cobalt-NTA											
Manganese-NTA											
Cadmium-NTA											
Aluminum-NTA											
2-Deoxy-D-ribonic acid lithium salt	7284-15-3				lithium deoxyribonoate						
1,4-Butanediol	110-63-4			90.12	Butane-1,4-diol						
2-Piperidinone	675-20-7			99.13	Piperidin-2-one; Valerolactam						
Caprolactam	105-60-2			113.16	Azepan-2-one						
1-Pentanol	71-41-0			88.15	Pentan-1-ol						
2-Ethylhexanol	104-76-7			130.23	2-Ethylhexan-1-ol						
e-Amino-N-Caproic Acid	60-32-2			131.17	Aminocaproic acid; 6-Aminohexanoic acid						
Cholinium dihydrogen phosphate	83846-92-8										
Cholinium lysinate											
Ethanolamine acetate											
Cholinium phosphate											
Cholinium glutamate											
Cholinium hydrogen phosphate											
Butyrolactam	616-45-5			85.11	Pyrrolidin-2-one						
Cholinium aspartate											
Cholinium alpha ketoglutarate											
Geraniol	106-24-1			154.25							
Formaldehyde	50-00-0			30.03							
L-Cysteine	52-90-4	sigmaaldrich	W326305-100G	121.16	 (R)-2-Amino-3-mercaptopropionic acid						
Hemin	16009-13-5	sigmaaldrich	H9039-10G	651.94	Chloro(protoporphyrinato)iron(III), Chlorohemin, Chloroprotoporphyrin IX iron(III), Ferriprotoporphyrin IX chloride, Hemin(chloride)						
hydrous ferric oxide											
Mannan from Saccharomyces cerevisiae	9036-88-8	sigma	M7504-1G								
Inulin from chicory	9005-80-5	sigma	I2255-10G								
Pectin	9000-69-5	sigma	P7536-1G								
Ethanolamine	141-43-5	sigma	398136-25ML								
Hyaluronic acid sodium salt from Streptococcus equi	9067-32-7	sigma	53747-1G								
Heparin sodium salt from porcine intestinal mucosa	9041-08-01	sigma	H4784-1G								
Chondroitin sulfate A sodium salt from bovine trachea	39455-18-0	sigma	C9819-5G								
Mucin, Bovine Submaxillary Gland, type I-S	84195-52-8	sigma	M3895-100MG								
Mucin from porcine stomach,Type II	84082-64-4	sigma	M2378-100G								
amylopectin from maize	9037-22-3	sigma	10120-250G								
(+)-Arabinogalactan	9036-66-2	sigma	A9788-1G								
Sodium alginate	9005-38-3	sigma	PHR1471-1G								
Laminarin from Laminaria digitata	9008-22-4	sigma	L9634-1G								
Red Arabinan from sugar-beet		sigma	07681-1G								
arabinogalactan	9036-66-2	sigma	A9788-1G								
Levan - from Erwinia herbicola	9013-95-0	sigma	L8647-1G								
polygalacturonic acid	25990-10-7	sigma	P3889-5G								
cellulose (fibers,medium)	9004-34-6	sigma	C6288-100G								
Amylose from potato	9005-82-7	sigma	A0512-1G								
dextran					dextran, Mw ~1,270; dextran, Mw ~200,000						
Avidin	1405-69-2	sigma									
